 0 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- 28 -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
Scan finished
Configure finished
BNO055 initialisation finished
X:-41 Y:-53 Z:934
X:-44 Y:-52 Z:934
X:-52 Y:-51 Z:947
X:-43 Y:-57 Z:944
X:-38 Y:-47 Z:931
X:-46 Y:-51 Z:949
X:-47 Y:-55 Z:935
X:-48 Y:-47 Z:942
X:-43 Y:-60 Z:958
X:-44 Y:-57 Z:939
X:-42 Y:-55 Z:936
X:-38 Y:-58 Z:950
X:-38 Y:-53 Z:953
X:-45 Y:-57 Z:946
X:-39 Y:-58 Z:950
X:-43 Y:-59 Z:956
X:-46 Y:-52 Z:942
X:-44 Y:-54 Z:941
X:-44 Y:-57 Z:956
X:-40 Y:-59 Z:940
X:-45 Y:-56 Z:948
X:-44 Y:-50 Z:936
X:-42 Y:-54 Z:934
X:-38 Y:-62 Z:944
X:-38 Y:-56 Z:940
X:-39 Y:-56 Z:938
X:-42 Y:-58 Z:944
X:-37 Y:-49 Z:940
X:-40 Y:-57 Z:948
X:-49 Y:-55 Z:937
X:-47 Y:-50 Z:942
X:-46 Y:-57 Z:940
X:-48 Y:-61 Z:947
X:-43 Y:-53 Z:944
X:-32 Y:-56 Z:951
X:-46 Y:-57 Z:945
X:-36 Y:-57 Z:949
X:-36 Y:-59 Z:939
X:-44 Y:-58 Z:942
X:-44 Y:-54 Z:943
X:-57 Y:-51 Z:945
X:-45 Y:-58 Z:946
X:-38 Y:-55 Z:948
X:-43 Y:-49 Z:941
X:-45 Y:-56 Z:959
X:-53 Y:-57 Z:948
X:-52 Y:-52 Z:936
X:-47 Y:-51 Z:944
X:-45 Y:-58 Z:941
X:-42 Y:-54 Z:942
X:-39 Y:-45 Z:935
X:-40 Y:-51 Z:939
X:-45 Y:-54 Z:935
X:-40 Y:-53 Z:938
X:-44 Y:-61 Z:937
X:-45 Y:-54 Z:947
X:-46 Y:-52 Z:943
X:-38 Y:-62 Z:947
X:-41 Y:-58 Z:946
X:-43 Y:-48 Z:944
X:-47 Y:-61 Z:940
X:-48 Y:-55 Z:948
X:-41 Y:-59 Z:948
X:-37 Y:-54 Z:948
X:-43 Y:-57 Z:944
X:-42 Y:-53 Z:944
X:-44 Y:-56 Z:951
X:-45 Y:-51 Z:937
X:-42 Y:-54 Z:952
X:-47 Y:-58 Z:936
X:-42 Y:-51 Z:948
X:-44 Y:-54 Z:940
X:-42 Y:-55 Z:949
X:-46 Y:-55 Z:952
X:-40 Y:-55 Z:945
X:-46 Y:-52 Z:936
X:-46 Y:-58 Z:947
X:-50 Y:-59 Z:948
X:-44 Y:-54 Z:940
X:-50 Y:-59 Z:941
X:-46 Y:-51 Z:952
X:-42 Y:-55 Z:945
X:-42 Y:-57 Z:947
X:-45 Y:-62 Z:945
X:-39 Y:-50 Z:941
X:-46 Y:-53 Z:954
X:-41 Y:-60 Z:950
X:-43 Y:-43 Z:945
X:-41 Y:-53 Z:936
X:-42 Y:-47 Z:947
X:-41 Y:-58 Z:949
X:-39 Y:-50 Z:940
X:-42 Y:-51 Z:953
X:-46 Y:-61 Z:948
X:-44 Y:-56 Z:941
X:-42 Y:-52 Z:941
X:-50 Y:-57 Z:944
X:-43 Y:-57 Z:945
X:-42 Y:-48 Z:945
X:-42 Y:-54 Z:936
X:-48 Y:-55 Z:940
X:-48 Y:-52 Z:949
X:-42 Y:-53 Z:943
X:-42 Y:-60 Z:946
X:-48 Y:-56 Z:950
X:-48 Y:-62 Z:939
X:-45 Y:-61 Z:952
X:-41 Y:-53 Z:953
X:-40 Y:-57 Z:952
X:-46 Y:-55 Z:945
X:-42 Y:-53 Z:944
X:-45 Y:-57 Z:944
X:-47 Y:-54 Z:951
X:-39 Y:-50 Z:952
X:-50 Y:-51 Z:949
X:-49 Y:-52 Z:948
X:-42 Y:-56 Z:944
X:-47 Y:-54 Z:943
X:-45 Y:-51 Z:941
X:-53 Y:-57 Z:946
X:-46 Y:-52 Z:940
X:-39 Y:-55 Z:939
X:-43 Y:-51 Z:952
X:-49 Y:-57 Z:940
X:-48 Y:-56 Z:947
X:-37 Y:-57 Z:943
X:-45 Y:-58 Z:948
X:-46 Y:-51 Z:938
X:-44 Y:-57 Z:939
X:-43 Y:-44 Z:947
X:-45 Y:-55 Z:951
X:-34 Y:-50 Z:955
X:-40 Y:-61 Z:946
X:-44 Y:-52 Z:944
X:-36 Y:-52 Z:946
X:-48 Y:-53 Z:939
X:-49 Y:-55 Z:937
X:-44 Y:-57 Z:943
X:-44 Y:-52 Z:946
X:-52 Y:-53 Z:941
X:-46 Y:-51 Z:946
X:-43 Y:-48 Z:949
X:-43 Y:-58 Z:946
X:-42 Y:-57 Z:937
X:-40 Y:-54 Z:944
X:-41 Y:-45 Z:942
X:-48 Y:-57 Z:945
X:-48 Y:-51 Z:948
X:-45 Y:-60 Z:940
